CountryCode,RegionCodeEUR_ETP
ABW,NCD
AFG,OAS
AGO,AFR
AIA,NCD
ALA,FIN
ALB,NCD
AND,NCD
ARE,MIE
ARG,NCD
ARM,MIE
ASM,OAS
ATA,NCD
ATF,OAS
ATG,NCD
AUS,OCD
AUT,AUT
AZE,MIE
BDI,AFR
BEL,BEL
BEN,AFR
BES,NCD
BFA,AFR
BGD,OAS
BGR,BGR
BHR,MIE
BHS,NCD
BIH,NCD
BLM,NCD
BLR,NCD
BLZ,NCD
BMU,NCD
BOL,NCD
BRA,BRA
BRB,NCD
BRN,OAS
BTN,OAS
BVT,NCD
BWA,AFR
CAF,AFR
CAN,OCD
CCK,OAS
CHE,OCD
CHL,NCD
CHN,CHN
CIV,AFR
CMR,AFR
COD,AFR
COG,AFR
COK,OAS
COL,NCD
COM,AFR
CPV,AFR
CRI,NCD
CUB,NCD
CUW,NCD
CXR,OAS
CYM,NCD
CYP,CYP
CZE,CZE
DEU,DEU
DJI,AFR
DMA,NCD
DNK,DNK
DOM,NCD
DZA,AFR
ECU,NCD
EGY,AFR
ERI,AFR
ESH,AFR
ESP,ESP
EST,EST
ETH,AFR
FIN,FIN
FJI,OAS
FLK,OCD
FRA,FRA
FRO,DNK
FSM,OAS
GAB,AFR
GBR,GBR
GEO,MIE
GGY,OCD
GHA,AFR
GIB,GBR
GIN,AFR
GLP,OCD
GMB,AFR
GNB,AFR
GNQ,AFR
GRC,GRC
GRD,NCD
GRL,DNK
GTM,NCD
GUF,OCD
GUM,OAS
GUY,NCD
HKG,CHN
HMD,OCD
HND,NCD
HRV,HRV
HTI,NCD
HUN,HUN
IDN,OAS
IMN,GBR
IND,IND
IOT,OAS
IRL,IRL
IRN,MIE
IRQ,MIE
ISL,OCD
ISR,MIE
ITA,ITA
JAM,NCD
JEY,GBR
JOR,MIE
JPN,JPN
KAZ,MIE
KEN,AFR
KGZ,MIE
KHM,OAS
KIR,OAS
KNA,NCD
KOR,OAS
KWT,MIE
LAO,OAS
LBN,MIE
LBR,AFR
LBY,AFR
LCA,NCD
LIE,NCD
LKA,OAS
LSO,AFR
LTU,LTU
LUX,LUX
LVA,LVA
MAC,CHN
MAF,OCD
MAR,AFR
MCO,NCD
MDA,NCD
MDG,AFR
MDV,OAS
MEX,MEX
MHL,OAS
MKD,NCD
MLI,AFR
MLT,MLT
MMR,OAS
MNE,NCD
MNG,OAS
MNP,OAS
MOZ,AFR
MRT,AFR
MSR,NCD
MTQ,OCD
MUS,AFR
MWI,AFR
MYS,OAS
MYT,AFR
NAM,AFR
NCL,OAS
NER,AFR
NFK,OAS
NGA,AFR
NIC,NCD
NIU,OAS
NLD,NLD
NOR,OCD
NPL,OAS
NRU,NCD
NZL,OCD
OMN,MIE
PAK,OAS
PAN,NCD
PCN,OAS
PER,NCD
PHL,OAS
PLW,OAS
PNG,OAS
POL,POL
PRI,USA
PRK,OAS
PRT,PRT
PRY,NCD
PSE,MIE
PYF,OAS
QAT,MIE
REU,AFR
ROU,ROU
RUS,RUS
RWA,AFR
SAU,MIE
SDN,AFR
SEN,AFR
SGP,OAS
SGS,OCD
SHN,AFR
SJM,NCD
SLB,OAS
SLE,AFR
SLV,NCD
SMR,NCD
SOM,AFR
SPM,OCD
SRB,NCD
SSD,AFR
STP,AFR
SUR,NCD
SVK,SVK
SVN,SVN
SWE,SWE
SWZ,AFR
SXM,OCD
SYC,AFR
SYR,MIE
TCA,NCD
TCD,AFR
TGO,AFR
THA,OAS
TJK,MIE
TKL,OAS
TKM,MIE
TLS,OAS
TON,OAS
TTO,NCD
TUN,AFR
TUR,OCD
TUV,OAS
TWN,OAS
TZA,AFR
UGA,AFR
UKR,NCD
UMI,OAS
URY,NCD
USA,USA
UZB,MIE
VAT,NCD
VCT,NCD
VEN,NCD
VGB,OCD
VIR,OCD
VNM,OAS
VUT,OAS
WLF,OAS
WSM,OAS
YEM,MIE
ZAF,ZAF
ZMB,AFR
ZWE,AFR