X;CountryCode;11regions;5regions;2regions
Angola;AGO;AFR;Middle East and Africa;Global South
Benin;BEN;AFR;Middle East and Africa;Global South
Botswana;BWA;AFR;Middle East and Africa;Global South
British Indian Ocean Territory;IOT;AFR;Middle East and Africa;Global South
Burkina Faso;BFA;AFR;Middle East and Africa;Global South
Burundi;BDI;AFR;Middle East and Africa;Global South
Cameroon;CMR;AFR;Middle East and Africa;Global South
Cape Verde;CPV;AFR;Middle East and Africa;Global South
Central African Republic;CAF;AFR;Middle East and Africa;Global South
Chad;TCD;AFR;Middle East and Africa;Global South
Comoros;COM;AFR;Middle East and Africa;Global South
Cote d'Ivoire;CIV;AFR;Middle East and Africa;Global South
Congo;COG;AFR;Middle East and Africa;Global South
Djibouti;DJI;AFR;Middle East and Africa;Global South
Equatorial Guinea;GNQ;AFR;Middle East and Africa;Global South
Eritrea;ERI;AFR;Middle East and Africa;Global South
Ethiopia;ETH;AFR;Middle East and Africa;Global South
Gabon;GAB;AFR;Middle East and Africa;Global South
Gambia;GMB;AFR;Middle East and Africa;Global South
Ghana;GHA;AFR;Middle East and Africa;Global South
Guinea;GIN;AFR;Middle East and Africa;Global South
Guinea-Bissau;GNB;AFR;Middle East and Africa;Global South
Kenya;KEN;AFR;Middle East and Africa;Global South
Lesotho;LSO;AFR;Middle East and Africa;Global South
Liberia;LBR;AFR;Middle East and Africa;Global South
Madagascar;MDG;AFR;Middle East and Africa;Global South
Malawi;MWI;AFR;Middle East and Africa;Global South
Mali;MLI;AFR;Middle East and Africa;Global South
Mauritania;MRT;AFR;Middle East and Africa;Global South
Mauritius;MUS;AFR;Middle East and Africa;Global South
Mozambique;MOZ;AFR;Middle East and Africa;Global South
Namibia;NAM;AFR;Middle East and Africa;Global South
Niger;NER;AFR;Middle East and Africa;Global South
Nigeria;NGA;AFR;Middle East and Africa;Global South
Reunion;REU;AFR;Middle East and Africa;Global South
Rwanda;RWA;AFR;Middle East and Africa;Global South
Sao Tome and Principe;STP;AFR;Middle East and Africa;Global South
Senegal;SEN;AFR;Middle East and Africa;Global South
Seychelles;SYC;AFR;Middle East and Africa;Global South
Sierra Leone;SLE;AFR;Middle East and Africa;Global South
Somalia;SOM;AFR;Middle East and Africa;Global South
South Africa;ZAF;AFR;Middle East and Africa;Global South
Saint Helena;SHN;AFR;Middle East and Africa;Global South
Swaziland;SWZ;AFR;Middle East and Africa;Global South
Tanzania;TZA;AFR;Middle East and Africa;Global South
Togo;TGO;AFR;Middle East and Africa;Global South
Uganda;UGA;AFR;Middle East and Africa;Global South
Democratic Republic of the Congo;COD;AFR;Middle East and Africa;Global South
Zambia;ZMB;AFR;Middle East and Africa;Global South
Zimbabwe;ZWE;AFR;Middle East and Africa;Global South
Cambodia;KHM;CPA;Asia;Global South
China;CHN;CPA;Asia;Global South
Korea (DPR);PRK;CPA;Asia;Global South
Laos (PDR);LAO;CPA;Asia;Global South
Mongolia;MNG;CPA;Asia;Global South
Viet Nam;VNM;CPA;Asia;Global South
Albania;ALB;EEU;Reforming Ecomonies;Global North
Bosnia and Herzegovina;BIH;EEU;Reforming Ecomonies;Global North
Bulgaria;BGR;EEU;Reforming Ecomonies;Global North
Croatia;HRV;EEU;Reforming Ecomonies;Global North
Czech Republic;CZE;EEU;Reforming Ecomonies;Global North
Estonia;EST;EEU;Reforming Ecomonies;Global North
The former Yugoslav Rep. of Macedonia;MKD;EEU;Reforming Ecomonies;Global North
Latvia;LVA;EEU;Reforming Ecomonies;Global North
Lithuania;LTU;EEU;Reforming Ecomonies;Global North
Hungary;HUN;EEU;Reforming Ecomonies;Global North
Poland;POL;EEU;Reforming Ecomonies;Global North
Romania;ROU;EEU;Reforming Ecomonies;Global North
Slovak Republic;SVK;EEU;Reforming Ecomonies;Global North
Slovenia;SVN;EEU;Reforming Ecomonies;Global North
Yugoslavia;YUG;EEU;Reforming Ecomonies;Global North
Armenia;ARM;FSU;Reforming Ecomonies;Global North
Azerbaijan;AZE;FSU;Reforming Ecomonies;Global North
Belarus;BLR;FSU;Reforming Ecomonies;Global North
Georgia;GEO;FSU;Reforming Ecomonies;Global North
Kazakhstan;KAZ;FSU;Reforming Ecomonies;Global North
Kyrgyzstan;KGZ;FSU;Reforming Ecomonies;Global North
Republic of Moldova;MDA;FSU;Reforming Ecomonies;Global North
Russian Federation;RUS;FSU;Reforming Ecomonies;Global North
Tajikistan;TJK;FSU;Reforming Ecomonies;Global North
Turkmenistan;TKM;FSU;Reforming Ecomonies;Global North
Ukraine;UKR;FSU;Reforming Ecomonies;Global North
Uzbekistan;UZB;FSU;Reforming Ecomonies;Global North
Antigua and Barbuda;ATG;LAC;Latin America and the Caribbean;Global South
Argentina;ARG;LAC;Latin America and the Caribbean;Global South
Bahamas;BHS;LAC;Latin America and the Caribbean;Global South
Barbados;BRB;LAC;Latin America and the Caribbean;Global South
Belize;BLZ;LAC;Latin America and the Caribbean;Global South
Bermuda;BMU;LAC;Latin America and the Caribbean;Global South
Bolivia;BOL;LAC;Latin America and the Caribbean;Global South
Brazil;BRA;LAC;Latin America and the Caribbean;Global South
Chile;CHL;LAC;Latin America and the Caribbean;Global South
Colombia;COL;LAC;Latin America and the Caribbean;Global South
Costa Rica;CRI;LAC;Latin America and the Caribbean;Global South
Cuba;CUB;LAC;Latin America and the Caribbean;Global South
Dominica;DMA;LAC;Latin America and the Caribbean;Global South
Dominican Republic;DOM;LAC;Latin America and the Caribbean;Global South
Ecuador;ECU;LAC;Latin America and the Caribbean;Global South
El Salvador;SLV;LAC;Latin America and the Caribbean;Global South
French Guyana;GUF;LAC;Latin America and the Caribbean;Global South
Grenada;GRD;LAC;Latin America and the Caribbean;Global South
Guadeloupe;GLP;LAC;Latin America and the Caribbean;Global South
Guatemala;GTM;LAC;Latin America and the Caribbean;Global South
Guyana;GUY;LAC;Latin America and the Caribbean;Global South
Haiti;HTI;LAC;Latin America and the Caribbean;Global South
Honduras;HND;LAC;Latin America and the Caribbean;Global South
Jamaica;JAM;LAC;Latin America and the Caribbean;Global South
Martinique;MTQ;LAC;Latin America and the Caribbean;Global South
Mexico;MEX;LAC;Latin America and the Caribbean;Global South
Netherlands Antilles;ANT;LAC;Latin America and the Caribbean;Global South
Nicaragua;NIC;LAC;Latin America and the Caribbean;Global South
Panama;PAN;LAC;Latin America and the Caribbean;Global South
Paraguay;PRY;LAC;Latin America and the Caribbean;Global South
Peru;PER;LAC;Latin America and the Caribbean;Global South
Saint Kitts and Nevis;KNA;LAC;Latin America and the Caribbean;Global South
Santa Lucia;LCA;LAC;Latin America and the Caribbean;Global South
Saint Vincent and the Grenadines;VCT;LAC;Latin America and the Caribbean;Global South
Suriname;SUR;LAC;Latin America and the Caribbean;Global South
Trinidad and Tobago;TTO;LAC;Latin America and the Caribbean;Global South
Uruguay;URY;LAC;Latin America and the Caribbean;Global South
Venezuela;VEN;LAC;Latin America and the Caribbean;Global South
Algeria;DZA;MEA;Middle East and Africa;Global South
Bahrain;BHR;MEA;Middle East and Africa;Global South
Egypt (Arab Republic);EGY;MEA;Middle East and Africa;Global South
Iraq;IRQ;MEA;Middle East and Africa;Global South
Iran (Islamic Republic);IRN;MEA;Middle East and Africa;Global South
Israel;ISR;MEA;Middle East and Africa;Global South
Jordan;JOR;MEA;Middle East and Africa;Global South
Kuwait;KWT;MEA;Middle East and Africa;Global South
Lebanon;LBN;MEA;Middle East and Africa;Global South
Libya/SPLAJ;LBY;MEA;Middle East and Africa;Global South
Morocco;MAR;MEA;Middle East and Africa;Global South
Oman;OMN;MEA;Middle East and Africa;Global South
Qatar;QAT;MEA;Middle East and Africa;Global South
Saudi Arabia;SAU;MEA;Middle East and Africa;Global South
Sudan;SDN;MEA;Middle East and Africa;Global South
Syria (Arab Republic);SYR;MEA;Middle East and Africa;Global South
Tunisia;TUN;MEA;Middle East and Africa;Global South
United Arab Emirates;ARE;MEA;Middle East and Africa;Global South
Yemen;YEM;MEA;Middle East and Africa;Global South
Canada;CAN;NAM;OECD 90;Global North
Guam;GUM;NAM;OECD 90;Global North
Puerto Rico;PRI;NAM;OECD 90;Global North
United States of America;USA;NAM;OECD 90;Global North
Virgin Islands, British;VGB;NAM;OECD 90;Global North
Virgin Islands, U.S.;VIR;NAM;OECD 90;Global North
Australia;AUS;PAO;OECD 90;Global North
Japan;JPN;PAO;OECD 90;Global North
New Zealand;NZL;PAO;OECD 90;Global North
American Samoa;ASM;PAS;Asia;Global South
Brunei Darussalam;BRN;PAS;Asia;Global South
Fiji;FJI;PAS;Asia;Global South
French Polynesia;PYF;PAS;Asia;Global South
Gilbert-Kiribati;KIR;PAS;Asia;Global South
Indonesia;IDN;PAS;Asia;Global South
Malaysia;MYS;PAS;Asia;Global South
Myanmar;MMR;PAS;Asia;Global South
New Caledonia;NCL;PAS;Asia;Global South
Papua New Guinea;PNG;PAS;Asia;Global South
Philippines;PHL;PAS;Asia;Global South
Republic of Korea;KOR;PAS;Asia;Global South
Singapore;SGP;PAS;Asia;Global South
Solomon Islands;SLB;PAS;Asia;Global South
Taiwan (China);TWN;PAS;Asia;Global South
Thailand;THA;PAS;Asia;Global South
Tonga;TON;PAS;Asia;Global South
Vanuatu;VUT;PAS;Asia;Global South
Samoa;WSM;PAS;Asia;Global South
Afghanistan;AFG;SAS;Asia;Global South
Bangladesh;BGD;SAS;Asia;Global South
Bhutan;BTN;SAS;Asia;Global South
India;IND;SAS;Asia;Global South
Maldives;MDV;SAS;Asia;Global South
Nepal;NPL;SAS;Asia;Global South
Pakistan;PAK;SAS;Asia;Global South
Sri Lanka;LKA;SAS;Asia;Global South
Andorra;AND;WEU;OECD 90;Global North
Austria;AUT;WEU;OECD 90;Global North
Belgium;BEL;WEU;OECD 90;Global North
Jersey;JEY;WEU;OECD 90;Global North
Guernsey;GGY;WEU;OECD 90;Global North
Cyprus;CYP;WEU;OECD 90;Global North
Denmark;DNK;WEU;OECD 90;Global North
Faeroe Islands;FRO;WEU;OECD 90;Global North
Finland;FIN;WEU;OECD 90;Global North
France;FRA;WEU;OECD 90;Global North
Germany;DEU;WEU;OECD 90;Global North
Gibraltar;GIB;WEU;OECD 90;Global North
Greece;GRC;WEU;OECD 90;Global North
Greenland;GRL;WEU;OECD 90;Global North
Iceland;ISL;WEU;OECD 90;Global North
Ireland;IRL;WEU;OECD 90;Global North
Isle of Man;IMN;WEU;OECD 90;Global North
Italy;ITA;WEU;OECD 90;Global North
Liechtenstein;LIE;WEU;OECD 90;Global North
Luxembourg;LUX;WEU;OECD 90;Global North
Malta;MLT;WEU;OECD 90;Global North
Monaco;MCO;WEU;OECD 90;Global North
Netherlands;NLD;WEU;OECD 90;Global North
Norway;NOR;WEU;OECD 90;Global North
Portugal;PRT;WEU;OECD 90;Global North
Spain;ESP;WEU;OECD 90;Global North
Sweden;SWE;WEU;OECD 90;Global North
Switzerland;CHE;WEU;OECD 90;Global North
Turkey;TUR;WEU;OECD 90;Global North
United Kingdom;GBR;WEU;OECD 90;Global North
Aland�Islands;ALA;WEU;OECD 90;Global North
Anguilla;AIA;LAC;Latin America and the Caribbean;Global South
Antarctica;ATA;LAC;Latin America and the Caribbean;Global South
Aruba;ABW;LAC;Latin America and the Caribbean;Global South
Bonaire,�Sint�Eustatius�and�Saba;BES;LAC;Latin America and the Caribbean;Global South
Bouvet�Island;BVT;LAC;Latin America and the Caribbean;Global South
Cayman�Islands;CYM;LAC;Latin America and the Caribbean;Global South
Christmas�Island;CXR;PAO;OECD 90;Global North
Cocos�(Keeling)�Islands;CCK;PAO;OECD 90;Global North
Cook�Islands;COK;PAO;OECD 90;Global North
Curacao;CUW;LAC;Latin America and the Caribbean;Global South
Falkland�Islands�(Malvinas);FLK;LAC;Latin America and the Caribbean;Global South
French�Southern�Territories;ATF;LAC;Latin America and the Caribbean;Global South
Heard�Island�and�McDonald�Islands;HMD;PAO;OECD 90;Global North
Holy�See�(Vatican�City�State);VAT;WEU;OECD 90;Global North
Hong�Kong;HKG;CPA;Asia;Global South
Macao;MAC;CPA;Asia;Global South
Marshall�Islands;MHL;PAS;Asia;Global South
Mayotte;MYT;AFR;Middle East and Africa;Global South
Micronesia,�Federated�States�of;FSM;PAS;Asia;Global South
Montenegro;MNE;EEU;Reforming Ecomonies;Global North
Montserrat;MSR;LAC;Latin America and the Caribbean;Global South
Nauru;NRU;PAS;Asia;Global South
Niue;NIU;PAO;OECD 90;Global North
Norfolk�Island;NFK;PAO;OECD 90;Global North
Northern�Mariana�Islands;MNP;PAS;Asia;Global South
Palau;PLW;PAS;Asia;Global South
Palestine,�State�of;PSE;MEA;Middle East and Africa;Global South
Pitcairn;PCN;PAS;Asia;Global South
Saint�Barthelemy;BLM;LAC;Latin America and the Caribbean;Global South
Saint�Martin�(French�part);MAF;LAC;Latin America and the Caribbean;Global South
Saint�Pierre�and�Miquelon;SPM;NAM;OECD 90;Global North
San�Marino;SMR;WEU;OECD 90;Global North
Serbia;SRB;WEU;OECD 90;Global North
Sint�Maarten�(Dutch�part);SXM;LAC;Latin America and the Caribbean;Global South
South�Georgia�and�the�South�Sandwich�Islands;SGS;LAC;Latin America and the Caribbean;Global South
South�Sudan;SSD;AFR;Middle East and Africa;Global South
Svalbard�and�Jan�Mayen;SJM;WEU;OECD 90;Global North
Timor-Leste;TLS;PAS;Asia;Global South
Tokelau;TKL;PAS;Asia;Global South
Turks�and�Caicos�Islands;TCA;LAC;Latin America and the Caribbean;Global South
Tuvalu;TUV;PAS;Asia;Global South
United�States�Minor�Outlying�Islands;UMI;PAS;Asia;Global South
Wallis�and�Futuna;WLF;PAS;Asia;Global South
Western�Sahara;ESH;MEA;Middle East and Africa;Global South
