gcm,rcp,ssp,variable,start,end,folder,file
GFDL-ESM4,historical,historical,tas,2001,2010,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/GFDL-ESM4,gfdl-esm4_r1i1p1f1_w5e5_historical_tas_global_daily_2001_2010.nc
GFDL-ESM4,historical,historical,tas,2011,2014,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/GFDL-ESM4,gfdl-esm4_r1i1p1f1_w5e5_historical_tas_global_daily_2011_2014.nc
GFDL-ESM4,historical,historical,rsds,2001,2010,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/GFDL-ESM4,gfdl-esm4_r1i1p1f1_w5e5_historical_rsds_global_daily_2001_2010.nc
GFDL-ESM4,historical,historical,rsds,2011,2014,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/GFDL-ESM4,gfdl-esm4_r1i1p1f1_w5e5_historical_rsds_global_daily_2011_2014.nc
GFDL-ESM4,historical,historical,sfcwind,2001,2010,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/GFDL-ESM4,gfdl-esm4_r1i1p1f1_w5e5_historical_sfcwind_global_daily_2001_2010.nc
GFDL-ESM4,historical,historical,sfcwind,2011,2014,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/GFDL-ESM4,gfdl-esm4_r1i1p1f1_w5e5_historical_sfcwind_global_daily_2011_2014.nc
GFDL-ESM4,historical,historical,huss,2001,2010,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/GFDL-ESM4,gfdl-esm4_r1i1p1f1_w5e5_historical_huss_global_daily_2001_2010.nc
GFDL-ESM4,historical,historical,huss,2011,2014,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/GFDL-ESM4,gfdl-esm4_r1i1p1f1_w5e5_historical_huss_global_daily_2011_2014.nc
,,,,,,,
IPSL-CM6A-LR,historical,historical,tas,2001,2010,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR,ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_tas_global_daily_2001_2010.nc
IPSL-CM6A-LR,historical,historical,tas,2011,2014,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR,ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_tas_global_daily_2011_2014.nc
IPSL-CM6A-LR,historical,historical,rsds,2001,2010,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR,ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_rsds_global_daily_2001_2010.nc
IPSL-CM6A-LR,historical,historical,rsds,2011,2014,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR,ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_rsds_global_daily_2011_2014.nc
IPSL-CM6A-LR,historical,historical,sfcwind,2001,2010,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR,ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_sfcwind_global_daily_2001_2010.nc
IPSL-CM6A-LR,historical,historical,sfcwind,2011,2014,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR,ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_sfcwind_global_daily_2011_2014.nc
IPSL-CM6A-LR,historical,historical,huss,2001,2010,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR,ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_huss_global_daily_2001_2010.nc
IPSL-CM6A-LR,historical,historical,huss,2011,2014,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/IPSL-CM6A-LR,ipsl-cm6a-lr_r1i1p1f1_w5e5_historical_huss_global_daily_2011_2014.nc
,,,,,,,
MPI-ESM1-2-HR,historical,historical,tas,2001,2010,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MPI-ESM1-2-HR,mpi-esm1-2-hr_r1i1p1f1_w5e5_historical_tas_global_daily_2001_2010.nc
MPI-ESM1-2-HR,historical,historical,tas,2011,2014,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MPI-ESM1-2-HR,mpi-esm1-2-hr_r1i1p1f1_w5e5_historical_tas_global_daily_2011_2014.nc
MPI-ESM1-2-HR,historical,historical,rsds,2001,2010,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MPI-ESM1-2-HR,mpi-esm1-2-hr_r1i1p1f1_w5e5_historical_rsds_global_daily_2001_2010.nc
MPI-ESM1-2-HR,historical,historical,rsds,2011,2014,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MPI-ESM1-2-HR,mpi-esm1-2-hr_r1i1p1f1_w5e5_historical_rsds_global_daily_2011_2014.nc
MPI-ESM1-2-HR,historical,historical,sfcwind,2001,2010,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MPI-ESM1-2-HR,mpi-esm1-2-hr_r1i1p1f1_w5e5_historical_sfcwind_global_daily_2001_2010.nc
MPI-ESM1-2-HR,historical,historical,sfcwind,2011,2014,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MPI-ESM1-2-HR,mpi-esm1-2-hr_r1i1p1f1_w5e5_historical_sfcwind_global_daily_2011_2014.nc
MPI-ESM1-2-HR,historical,historical,huss,2001,2010,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MPI-ESM1-2-HR,mpi-esm1-2-hr_r1i1p1f1_w5e5_historical_huss_global_daily_2001_2010.nc
MPI-ESM1-2-HR,historical,historical,huss,2011,2014,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MPI-ESM1-2-HR,mpi-esm1-2-hr_r1i1p1f1_w5e5_historical_huss_global_daily_2011_2014.nc
,,,,,,,
MRI-ESM2-0,historical,historical,tas,2001,2010,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_historical_tas_global_daily_2001_2010.nc
MRI-ESM2-0,historical,historical,tas,2011,2014,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_historical_tas_global_daily_2011_2014.nc
MRI-ESM2-0,historical,historical,rsds,2001,2010,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_historical_rsds_global_daily_2001_2010.nc
MRI-ESM2-0,historical,historical,rsds,2011,2014,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_historical_rsds_global_daily_2011_2014.nc
MRI-ESM2-0,historical,historical,sfcwind,2001,2010,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_historical_sfcwind_global_daily_2001_2010.nc
MRI-ESM2-0,historical,historical,sfcwind,2011,2014,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_historical_sfcwind_global_daily_2011_2014.nc
MRI-ESM2-0,historical,historical,huss,2001,2010,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_historical_huss_global_daily_2001_2010.nc
MRI-ESM2-0,historical,historical,huss,2011,2014,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_historical_huss_global_daily_2011_2014.nc
,,,,,,,
UKESM1-0-LL,historical,historical,tas,2001,2010,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/UKESM1-0-LL,ukesm1-0-ll_r1i1p1f2_w5e5_historical_tas_global_daily_2001_2010.nc
UKESM1-0-LL,historical,historical,tas,2011,2014,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/UKESM1-0-LL,ukesm1-0-ll_r1i1p1f2_w5e5_historical_tas_global_daily_2011_2014.nc
UKESM1-0-LL,historical,historical,rsds,2001,2010,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/UKESM1-0-LL,ukesm1-0-ll_r1i1p1f2_w5e5_historical_rsds_global_daily_2001_2010.nc
UKESM1-0-LL,historical,historical,rsds,2011,2014,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/UKESM1-0-LL,ukesm1-0-ll_r1i1p1f2_w5e5_historical_rsds_global_daily_2011_2014.nc
UKESM1-0-LL,historical,historical,sfcwind,2001,2010,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/UKESM1-0-LL,ukesm1-0-ll_r1i1p1f2_w5e5_historical_sfcwind_global_daily_2001_2010.nc
UKESM1-0-LL,historical,historical,sfcwind,2011,2014,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/UKESM1-0-LL,ukesm1-0-ll_r1i1p1f2_w5e5_historical_sfcwind_global_daily_2011_2014.nc
UKESM1-0-LL,historical,historical,huss,2001,2010,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/UKESM1-0-LL,ukesm1-0-ll_r1i1p1f2_w5e5_historical_huss_global_daily_2001_2010.nc
UKESM1-0-LL,historical,historical,huss,2011,2014,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/historical/UKESM1-0-LL,ukesm1-0-ll_r1i1p1f2_w5e5_historical_huss_global_daily_2011_2014.nc