,gcm,rcp,ssp,variable,start,end,folder,file,split
1,,,,CountryMask,NA,NA,/p/projects/isimip/isimip/ISIMIP3b/InputData/geo_conditions/countrymasks,countrymasks.nc,NA
2,,picontrol,picontrol,pop,1901,2014,/p/projects/isimip/isimip/ISIMIP3b/InputData/socioeconomic/pop/histsoc,population_picontrol_30arcmin_annual_1961_2100.nc,NA
3,MRI-ESM2-0,picontrol,picontrol,tas,1961,1970,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_tas_global_daily_1961_1970.nc,TRUE
4,MRI-ESM2-0,picontrol,picontrol,tas,1971,1980,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_tas_global_daily_1971_1980.nc,TRUE
5,MRI-ESM2-0,picontrol,picontrol,tas,1981,1990,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_tas_global_daily_1981_1990.nc,TRUE
6,MRI-ESM2-0,picontrol,picontrol,tas,1991,2000,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_tas_global_daily_1991_2000.nc,TRUE
7,MRI-ESM2-0,picontrol,picontrol,tas,2001,2010,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_tas_global_daily_2001_2010.nc,TRUE
8,MRI-ESM2-0,picontrol,picontrol,tas,2011,2020,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_tas_global_daily_2011_2020.nc,TRUE
9,MRI-ESM2-0,picontrol,picontrol,tas,2021,2030,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_tas_global_daily_2021_2030.nc,TRUE
10,MRI-ESM2-0,picontrol,picontrol,tas,2031,2040,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_tas_global_daily_2031_2040.nc,TRUE
11,MRI-ESM2-0,picontrol,picontrol,tas,2041,2050,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_tas_global_daily_2041_2050.nc,TRUE
12,MRI-ESM2-0,picontrol,picontrol,tas,2051,2060,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_tas_global_daily_2051_2060.nc,TRUE
13,MRI-ESM2-0,picontrol,picontrol,tas,2061,2070,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_tas_global_daily_2061_2070.nc,TRUE
14,MRI-ESM2-0,picontrol,picontrol,tas,2071,2080,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_tas_global_daily_2071_2080.nc,TRUE
15,MRI-ESM2-0,picontrol,picontrol,tas,2081,2090,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_tas_global_daily_2081_2090.nc,TRUE
16,MRI-ESM2-0,picontrol,picontrol,tas,2091,2100,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_tas_global_daily_2091_2100.nc,TRUE
,MRI-ESM2-0,picontrol,picontrol,sfcwind,1961,1970,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_sfcwind_global_daily_1961_1970.nc,TRUE
18,MRI-ESM2-0,picontrol,picontrol,sfcwind,1971,1980,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_sfcwind_global_daily_1971_1980.nc,TRUE
19,MRI-ESM2-0,picontrol,picontrol,sfcwind,1981,1990,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_sfcwind_global_daily_1981_1990.nc,TRUE
20,MRI-ESM2-0,picontrol,picontrol,sfcwind,1991,2000,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_sfcwind_global_daily_1991_2000.nc,TRUE
21,MRI-ESM2-0,picontrol,picontrol,sfcwind,2001,2010,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_sfcwind_global_daily_2001_2010.nc,TRUE
22,MRI-ESM2-0,picontrol,picontrol,sfcwind,2011,2020,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_sfcwind_global_daily_2011_2020.nc,TRUE
23,MRI-ESM2-0,picontrol,picontrol,sfcwind,2021,2030,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_sfcwind_global_daily_2021_2030.nc,TRUE
24,MRI-ESM2-0,picontrol,picontrol,sfcwind,2031,2040,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_sfcwind_global_daily_2031_2040.nc,TRUE
25,MRI-ESM2-0,picontrol,picontrol,sfcwind,2041,2050,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_sfcwind_global_daily_2041_2050.nc,TRUE
26,MRI-ESM2-0,picontrol,picontrol,sfcwind,2051,2060,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_sfcwind_global_daily_2051_2060.nc,TRUE
,MRI-ESM2-0,picontrol,picontrol,sfcwind,2061,2070,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_sfcwind_global_daily_2061_2070.nc,TRUE
,MRI-ESM2-0,picontrol,picontrol,sfcwind,2071,2080,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_sfcwind_global_daily_2071_2080.nc,TRUE
,MRI-ESM2-0,picontrol,picontrol,sfcwind,2081,2090,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_sfcwind_global_daily_2081_2090.nc,TRUE
,MRI-ESM2-0,picontrol,picontrol,sfcwind,2091,2100,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_sfcwind_global_daily_2091_2100.nc,TRUE
,MRI-ESM2-0,picontrol,picontrol,rsds,1961,1970,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_rsds_global_daily_1961_1970.nc,TRUE
,MRI-ESM2-0,picontrol,picontrol,rsds,1971,1980,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_rsds_global_daily_1971_1980.nc,TRUE
,MRI-ESM2-0,picontrol,picontrol,rsds,1981,1990,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_rsds_global_daily_1981_1990.nc,TRUE
,MRI-ESM2-0,picontrol,picontrol,rsds,1991,2000,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_rsds_global_daily_1991_2000.nc,TRUE
,MRI-ESM2-0,picontrol,picontrol,rsds,2001,2010,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_rsds_global_daily_2001_2010.nc,TRUE
,MRI-ESM2-0,picontrol,picontrol,rsds,2011,2020,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_rsds_global_daily_2011_2020.nc,TRUE
,MRI-ESM2-0,picontrol,picontrol,rsds,2021,2030,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_rsds_global_daily_2021_2030.nc,TRUE
,MRI-ESM2-0,picontrol,picontrol,rsds,2031,2040,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_rsds_global_daily_2031_2040.nc,TRUE
,MRI-ESM2-0,picontrol,picontrol,rsds,2041,2050,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_rsds_global_daily_2041_2050.nc,TRUE
,MRI-ESM2-0,picontrol,picontrol,rsds,2051,2060,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_rsds_global_daily_2051_2060.nc,TRUE
,MRI-ESM2-0,picontrol,picontrol,rsds,2061,2070,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_rsds_global_daily_2061_2070.nc,TRUE
,MRI-ESM2-0,picontrol,picontrol,rsds,2071,2080,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_rsds_global_daily_2071_2080.nc,TRUE
,MRI-ESM2-0,picontrol,picontrol,rsds,2081,2090,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_rsds_global_daily_2081_2090.nc,TRUE
,MRI-ESM2-0,picontrol,picontrol,rsds,2091,2100,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_rsds_global_daily_2091_2100.nc,TRUE
,MRI-ESM2-0,picontrol,picontrol,huss,1961,1970,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_huss_global_daily_1961_1970.nc,TRUE
,MRI-ESM2-0,picontrol,picontrol,huss,1971,1980,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_huss_global_daily_1971_1980.nc,TRUE
,MRI-ESM2-0,picontrol,picontrol,huss,1981,1990,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_huss_global_daily_1981_1990.nc,TRUE
,MRI-ESM2-0,picontrol,picontrol,huss,1991,2000,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_huss_global_daily_1991_2000.nc,TRUE
,MRI-ESM2-0,picontrol,picontrol,huss,2001,2010,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_huss_global_daily_2001_2010.nc,TRUE
,MRI-ESM2-0,picontrol,picontrol,huss,2011,2020,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_huss_global_daily_2011_2020.nc,TRUE
,MRI-ESM2-0,picontrol,picontrol,huss,2021,2030,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_huss_global_daily_2021_2030.nc,TRUE
,MRI-ESM2-0,picontrol,picontrol,huss,2031,2040,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_huss_global_daily_2031_2040.nc,TRUE
,MRI-ESM2-0,picontrol,picontrol,huss,2041,2050,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_huss_global_daily_2041_2050.nc,TRUE
,MRI-ESM2-0,picontrol,picontrol,huss,2051,2060,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_huss_global_daily_2051_2060.nc,TRUE
,MRI-ESM2-0,picontrol,picontrol,huss,2061,2070,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_huss_global_daily_2061_2070.nc,TRUE
,MRI-ESM2-0,picontrol,picontrol,huss,2071,2080,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_huss_global_daily_2071_2080.nc,TRUE
,MRI-ESM2-0,picontrol,picontrol,huss,2081,2090,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_huss_global_daily_2081_2090.nc,TRUE
,MRI-ESM2-0,picontrol,picontrol,huss,2091,2100,/p/projects/isimip/isimip/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/picontrol/MRI-ESM2-0,mri-esm2-0_r1i1p1f1_w5e5_picontrol_huss_global_daily_2091_2100.nc,TRUE